Date,avg_PnL,total_volume_usd,total_fee,unique_traders,buy_ratio,timestamp,value,classification,date,color
2023-05-01,0.0,477.0,0.0,1,0.0,1682919000,63,Greed,2023-05-01,green
2023-12-05,0.0,50005.83,12.501455,1,0.0,1701754200,75,Extreme Greed,2023-12-05,
2023-12-14,-18.675885181818188,113203.35,28.300831000000002,1,0.0,1702531800,72,Greed,2023-12-14,green
2023-12-15,-12.316016999999999,10609.95,2.652489,1,0.0,1702618200,70,Greed,2023-12-15,green
2023-12-16,0.0,15348.77,3.8371890000000004,1,0.0,1702704600,67,Greed,2023-12-16,green
2023-12-17,21.78448464285714,116278.02,29.069499,1,0.0,1702791000,73,Greed,2023-12-17,green
2023-12-18,0.0,31164.179999999997,7.791045,1,0.0,1702877400,65,Greed,2023-12-18,green
2023-12-19,66.70257413333334,91602.41,22.900596,1,0.0,1702963800,73,Greed,2023-12-19,green
2023-12-20,9.040682333333333,141636.79,35.409187,1,0.0,1703050200,74,Greed,2023-12-20,green
2023-12-21,10.963498000000001,125233.97,31.308469,1,0.0,1703136600,70,Greed,2023-12-21,green
2023-12-22,14.1832675,88874.28,22.218566000000003,1,0.0,1703223000,74,Greed,2023-12-22,green
2023-12-23,11.302823384615383,78438.25,19.609555,1,0.0,1703309400,70,Greed,2023-12-23,green
2023-12-24,25.862050153846155,402954.94,100.738715,1,0.0,1703395800,71,Greed,2023-12-24,green
2023-12-25,-81.69378266666666,59948.51,14.987124999999999,1,0.0,1703482200,73,Greed,2023-12-25,green
2023-12-27,-25.174615249999995,171411.06,42.852747,1,0.0,1703655000,73,Greed,2023-12-27,green
2023-12-28,-42.20569026086957,100117.25,25.0293,1,0.0,1703741400,73,Greed,2023-12-28,green
2023-12-29,10.178442859999999,569559.72,142.389901,1,0.0,1703827800,65,Greed,2023-12-29,green
2023-12-30,6.826897076923077,702550.21,175.637526,1,0.0,1703914200,68,Greed,2023-12-30,green
2024-01-01,-7.196192222222223,264239.52999999997,66.059867,1,0.0,1704087000,65,Greed,2024-01-01,green
2024-01-02,46.11641858823529,121348.74,30.337176,1,0.0,1704173400,71,Greed,2024-01-02,green
2024-01-03,12.925604582089552,394499.36,98.624811,1,0.0,1704259800,70,Greed,2024-01-03,green
2024-01-04,-13.520728,99792.54000000001,24.948132,1,0.0,1704346200,68,Greed,2024-01-04,green
2024-01-05,2.486993409090909,1703942.66,425.985639,1,0.0,1704432600,72,Greed,2024-01-05,green
2024-01-06,6.16280290909091,298521.4,74.630342,1,0.0,1704519000,70,Greed,2024-01-06,green
2024-01-07,-8.615270463917525,1048850.06,262.212464,1,0.0,1704605400,71,Greed,2024-01-07,green
2024-01-08,-2.1083940546875,1522452.43,380.613064,1,0.0,1704691800,71,Greed,2024-01-08,green
2024-01-09,-11.804998042857143,870051.97,204.012928,1,0.0,1704778200,76,Extreme Greed,2024-01-09,
2024-01-10,-7.860576901554404,2057479.48,434.044865,1,0.0,1704864600,73,Greed,2024-01-10,green
2024-01-11,-7.813785761904761,305314.1,75.867171,2,0.0,1704951000,76,Extreme Greed,2024-01-11,
2024-01-12,-275.0741462857143,200082.27,49.480726999999995,1,0.0,1705037400,71,Greed,2024-01-12,green
2024-01-15,10.918112857142857,50636.1,12.652712,2,0.0,1705296600,52,Neutral,2024-01-15,
2024-01-16,-255.4634953333333,116427.33,17.319309,2,0.0,1705383000,64,Greed,2024-01-16,green
2024-01-17,15.344794547169812,800831.03,159.707606,1,0.0,1705469400,60,Greed,2024-01-17,green
2024-01-18,1.4985476086956522,424631.52999999997,92.657901,1,0.0,1705555800,63,Greed,2024-01-18,green
2024-01-19,-8.029567395833334,428428.97,93.051868,2,0.0,1705642200,51,Neutral,2024-01-19,
2024-01-20,-1.3827817924528305,1070090.51,267.522583,1,0.0,1705728600,52,Neutral,2024-01-20,
2024-01-21,24.234649636363642,103129.74,25.78243,1,0.0,1705815000,56,Greed,2024-01-21,green
2024-01-22,16.18401128235294,337878.99,67.478268,2,0.0,1705901400,55,Greed,2024-01-22,green
2024-01-23,-8.20543844444444,414518.93000000005,85.72457,1,0.0,1705987800,50,Neutral,2024-01-23,
2024-01-24,-41.29932080882353,965084.59,227.771095,1,0.0,1706074200,48,Neutral,2024-01-24,
2024-01-25,-515.6048975,66566.13,16.641532,1,0.0,1706160600,52,Neutral,2024-01-25,
2024-01-26,18.04,11773.21,0.444235,2,0.0,1706247000,49,Neutral,2024-01-26,
2024-01-28,-225.27906545454545,18109.03,-0.362176,1,0.0,1706419800,54,Neutral,2024-01-28,
2024-01-29,6.5751694864864865,414208.18,103.26260500000001,2,0.0,1706506200,55,Greed,2024-01-29,green
2024-01-30,-3.5439630816326537,401011.38,100.25281,1,0.0,1706592600,61,Greed,2024-01-30,green
2024-01-31,-0.93113017112922,6305647.13,1549.411475,1,0.0,1706679000,60,Greed,2024-01-31,green
2024-02-01,0.0,2008.18,0.5020439999999999,1,0.0,1706765400,63,Greed,2024-02-01,green
2024-02-02,10.867225547619048,474278.43,91.569636,1,0.0,1706851800,63,Greed,2024-02-02,green
2024-02-03,3.9876640535714283,603820.0,109.662349,1,0.0,1706938200,60,Greed,2024-02-03,green
2024-02-04,1.360682714285714,203187.53,50.52688,1,0.0,1707024600,60,Greed,2024-02-04,green
2024-02-05,-0.4646415833333337,770198.26,165.549465,1,0.0,1707111000,60,Greed,2024-02-05,green
2024-02-06,-0.19817638511029412,8047153.41,988.606997,1,0.0,1707197400,64,Greed,2024-02-06,green
2024-02-07,16.082808,6758.73,0.339693,1,0.0,1707283800,62,Greed,2024-02-07,green
2024-02-08,77.07560240000001,26051.12,3.0028870000000003,1,0.0,1707370200,66,Greed,2024-02-08,green
2024-02-11,28.924799294117648,212311.82,24.955292,1,0.0,1707629400,71,Greed,2024-02-11,green
2024-02-12,57.11761168749999,227247.69999999998,27.111911,1,0.0,1707715800,70,Greed,2024-02-12,green
2024-02-13,39.960277857142856,1999.99,-0.039992,1,0.0,1707802200,79,Extreme Greed,2024-02-13,
2024-02-14,34.509908405405405,320839.88,22.917474000000002,2,0.0,1707888600,74,Greed,2024-02-14,green
2024-02-15,29.219010746031746,185188.04,30.706297,2,0.0,1707975000,72,Greed,2024-02-15,green
2024-02-16,30.174554032967034,564896.51,27.22517,2,0.0,1708061400,72,Greed,2024-02-16,green
2024-02-17,20.52810425531915,406118.07,62.055053,2,0.0,1708147800,76,Extreme Greed,2024-02-17,
2024-02-18,4.923967319587628,157048.17,-3.140925,1,0.0,1708234200,72,Greed,2024-02-18,green
2024-02-19,42.750183792079206,286377.2,14.85262,2,0.0,1708320600,75,Extreme Greed,2024-02-19,
2024-02-20,83.68279035897436,119419.72,3.073675,2,0.0,1708407000,72,Greed,2024-02-20,green
2024-02-21,84.49084409090909,108047.51999999999,2.970629,2,0.0,1708493400,78,Extreme Greed,2024-02-21,
2024-02-22,44.25119397727272,373033.87,25.45258,2,0.0,1708579800,74,Greed,2024-02-22,green
2024-02-23,9.91995055944056,111106.14,-2.067069,1,0.0,1708666200,76,Extreme Greed,2024-02-23,
2024-02-25,-6.1541,4480.13,-0.0896,1,0.0,1708839000,74,Greed,2024-02-25,green
2024-02-26,113.25249487179488,192187.14,-0.09772499999999981,2,0.0,1708925400,72,Greed,2024-02-26,green
2024-02-27,14.103360841269842,209362.3,-3.761609,2,0.0,1709011800,79,Extreme Greed,2024-02-27,
2024-02-28,55.63882744444444,171107.13,-1.377152,1,0.0,1709098200,82,Extreme Greed,2024-02-28,
2024-02-29,84.60342234482759,395666.73,1.3590849999999999,2,0.0,1709184600,80,Extreme Greed,2024-02-29,
2024-03-01,60.176944591240876,472974.7,-0.546854,1,0.0,1709271000,80,Extreme Greed,2024-03-01,
2024-03-02,7.448406451612905,63197.56,-0.4691290000000001,2,0.0,1709357400,80,Extreme Greed,2024-03-02,
2024-03-03,105.83653474683545,390745.68,-2.507103,1,0.0,1709443800,83,Extreme Greed,2024-03-03,
2024-03-04,92.66591914,1577996.87,-0.559449,2,0.0,1709530200,82,Extreme Greed,2024-03-04,
2024-03-05,109.95014467222222,841810.32,-4.438459,1,0.0,1709616600,90,Extreme Greed,2024-03-05,
2024-03-06,83.10762364634145,327218.02,-3.355318,1,0.0,1709703000,75,Extreme Greed,2024-03-06,
